DATE,HOME,AWAY,LEAGUE,SEASON,HOMEGOALS,HOME1PG,HOME2PG,HOMESHOTS,HOMESh%,HomeSh%D,HOMEES%,HomeES%D,AwayGoals,AWAY1PG,AWAY2PG,AWAYSHOTS,AWAYSh%,AwaySh%D,AwayES%,AwayES%D,ABS(ES%D),URL: 
9/21/2019,WHIPSNAKES,REDWOODS,PLL,PLL 2019,12,10,1,36,0.306,0.043,0.333,0.044,11,9,1,38,0.263,-0.043,0.289,-0.044,0.04,https://dn0a11v09sa0t.cloudfront.net/BoxScores/PLL_RED_WHP_20190921_1.json
9/21/2019,ATLAS,ARCHERS,PLL,PLL 2019,7,7,0,32,0.219,-0.225,0.219,-0.244,25,23,1,54,0.444,0.225,0.463,0.244,0.24,https://dn0a11v09sa0t.cloudfront.net/BoxScores/PLL_ARC_ATL_20190921_1.json
9/16/2019,ARCHERS,CHROME,PLL,PLL 2019,12,12,0,43,0.279,0.014,0.279,-0.015,10,8,1,34,0.265,-0.014,0.294,0.015,0.01,https://dn0a11v09sa0t.cloudfront.net/BoxScores/PLL_CHR_ARC_20190914_1.json
9/16/2019,CHAOS,REDWOODS,PLL,PLL 2019,7,7,0,33,0.212,-0.077,0.212,-0.104,12,10,1,38,0.289,0.077,0.316,0.104,0.1,https://dn0a11v09sa0t.cloudfront.net/BoxScores/PLL_RED_CHA_20190914_1.json
9/16/2019,CHAOS,WHIPSNAKES,PLL,PLL 2019,7,7,0,29,0.241,-0.024,0.241,-0.065,15,11,2,49,0.265,0.024,0.306,0.065,0.07,https://dn0a11v09sa0t.cloudfront.net/BoxScores/PLL_WHP_CHA_20190907_1.json
9/16/2019,ATLAS,CHROME,PLL,PLL 2019,17,11,3,51,0.275,0.046,0.333,0.104,8,8,0,35,0.229,-0.046,0.229,-0.104,0.1,https://dn0a11v09sa0t.cloudfront.net/BoxScores/PLL_CHR_ATL_20190907_1.json
9/16/2019,ARCHERS,REDWOODS,PLL,PLL 2019,12,10,1,40,0.275,-0.163,0.3,-0.2,16,12,2,32,0.438,0.163,0.5,0.2,0.2,https://dn0a11v09sa0t.cloudfront.net/BoxScores/PLL_RED_ARC_20190906_1.json
8/25/2019,ARCHERS,WHIPSNAKES,PLL,PLL 2019,11,9,1,36,0.278,0.132,0.306,0.139,8,6,1,48,0.146,-0.132,0.167,-0.139,0.14,https://dn0a11v09sa0t.cloudfront.net/BoxScores/PLL_WHP_ARC_20190825_1.json
8/25/2019,CHROME,REDWOODS,PLL,PLL 2019,7,7,0,30,0.233,-0.094,0.233,-0.113,18,16,1,52,0.327,0.094,0.346,0.113,0.11,https://dn0a11v09sa0t.cloudfront.net/BoxScores/PLL_RED_CHR_20190825_1.json
8/25/2019,CHAOS,ATLAS,PLL,PLL 2019,9,7,1,41,0.195,-0.098,0.22,-0.073,12,12,0,41,0.293,0.098,0.293,0.073,0.07,https://dn0a11v09sa0t.cloudfront.net/BoxScores/PLL_ATL_CHA_20190824_1.json
8/18/2019,REDWOODS,WHIPSNAKES,PLL,PLL 2019,4,4,0,37,0.108,-0.264,0.108,-0.287,17,15,1,43,0.372,0.264,0.395,0.287,0.29,https://dn0a11v09sa0t.cloudfront.net/BoxScores/PLL_WHP_RED_20190818_1.json
8/17/2019,ATLAS,CHROME,PLL,PLL 2019,17,13,2,43,0.349,-0.089,0.395,-0.043,14,14,0,32,0.438,0.089,0.438,0.043,0.04,https://dn0a11v09sa0t.cloudfront.net/BoxScores/PLL_CHR_ATL_20190817_1.json
8/17/2019,ARCHERS,CHAOS,PLL,PLL 2019,10,10,0,54,0.185,-0.104,0.185,-0.104,11,11,0,38,0.289,0.104,0.289,0.104,0.1,https://dn0a11v09sa0t.cloudfront.net/BoxScores/PLL_CHA_ARC_20190817_1.json
8/12/2019,ATLAS,ARCHERS,PLL,PLL 2019,11,11,0,46,0.239,-0.073,0.239,-0.073,15,15,0,48,0.312,0.073,0.312,0.073,0.07,https://dn0a11v09sa0t.cloudfront.net/BoxScores/PLL_ARC_ATL_20190811_1.json
8/20/2019,WHIPSNAKES,CHROME,PLL,PLL 2019,16,10,3,45,0.289,-0.14,0.356,-0.12,20,16,2,42,0.429,0.14,0.476,0.12,0.12,https://dn0a11v09sa0t.cloudfront.net/BoxScores/PLL_CHR_WHP_20190810_1.json
8/10/2019,CHAOS,REDWOODS,PLL,PLL 2019,13,7,3,42,0.238,0.016,0.31,0.088,10,10,0,45,0.222,-0.016,0.222,-0.088,0.09,https://dn0a11v09sa0t.cloudfront.net/BoxScores/PLL_RED_CHA_20190810_1.json
7/28/2019,CHROME,ARCHERS,PLL,PLL 2019,7,7,0,54,0.13,-0.045,0.13,-0.095,9,5,2,40,0.175,0.045,0.225,0.095,0.1,https://dn0a11v09sa0t.cloudfront.net/BoxScores/PLL_ARC_CHR_20190728_1.json
7/28/2019,WHIPSNAKES,CHAOS,PLL,PLL 2019,12,12,0,43,0.279,-0.029,0.279,-0.054,13,11,1,39,0.308,0.029,0.333,0.054,0.05,https://dn0a11v09sa0t.cloudfront.net/BoxScores/PLL_CHA_WHP_20190727_1.json
7/27/2019,REDWOODS,ATLAS,PLL,PLL 2019,15,15,0,39,0.385,-0.01,0.385,-0.089,18,12,3,38,0.395,0.01,0.474,0.089,0.09,https://dn0a11v09sa0t.cloudfront.net/BoxScores/PLL_ATL_RED_20190727_1.json
