LAST,FIRST,LEAGUE,TEAM,POSITION,1PG,2PG,SHOTS,ES%
Ghitelman,Adam,PLL,Archers,Goalie,0,0,2,0.0
Emala,Davey,PLL,Archers,Attack,0,0,0,0
Alexander,Dominique,PLL,Archers,Midfield,0,0,3,0.0
Adams,Drew,PLL,Archers,Goalie,0,0,0,0
Connell,Evan,PLL,Archers,Defense,0,0,0,0
Murray,Goran,PLL,Archers,Defense,0,0,0,0
Place,Jackson,PLL,Archers,Defense,0,0,0,0
McNeill,Mark,PLL,Archers,Midfield,0,0,2,0.0
McMahon,Matt,PLL,Archers,Defense,0,0,3,0.0
Noone,Michael,PLL,Archers,Defense,0,0,0,0
Tintle,Nick,PLL,Archers,Midfield,0,0,0,0
Waldeck,Steve,PLL,Archers,Defense,0,0,0,0
Pfister,Tyler,PLL,Archers,Midfield,0,0,6,0.0
Corley,Curtis,PLL,Archers,Defense,0,0,0,0
Fowler,Brendan,PLL,Archers,Midfield,0,0,3,0.0
Pifani,Austin,PLL,Atlas,Defense,0,0,2,0.0
Robinson,Callum,PLL,Atlas,Defense,0,0,0,0
Mattes,Chris,PLL,Atlas,Faceoff,0,0,0,0
Concannon,Jack,PLL,Atlas,Goalie,0,0,0,0
Young,Pat,PLL,Atlas,Midfield,0,0,1,0.0
Rodgers,Scott,PLL,Atlas,Goalie,0,0,0,0
Stanwick,Shack,PLL,Atlas,Attack,0,0,0,0
Brooks,Steven,PLL,Atlas,Midfield,0,0,0,0
DeNapoli,Steven,PLL,Atlas,Midfield,0,0,1,0.0
Bruno,Tal,PLL,Atlas,Midfield,0,0,0,0
Semisch,Tim,PLL,Atlas,Defense,0,0,0,0
Durkin,Tucker,PLL,Atlas,Defense,0,0,0,0
Conrad,Ryan,PLL,Atlas,Midfield,0,0,3,0.0
Staats,Austin,PLL,Chaos,Attack,0,0,0,0
Smith,Billy-Dee,PLL,Chaos,Defense,0,0,0,0
Riorden,Blaze,PLL,Chaos,Goalie,0,0,0,0
Self,Brad,PLL,Chaos,Midfield,0,0,0,0
Merrill,Brodie,PLL,Chaos,Defense,0,0,1,0.0
Cipriano,Charlie,PLL,Chaos,Goalie,0,0,0,0
Dickson,Curtis,PLL,Chaos,Attack,0,0,0,0
Coates,Dan,PLL,Chaos,Defense,0,0,0,0
Thompson,Jeremy,PLL,Chaos,Midfield,0,0,5,0.0
Resetarits,Joe,PLL,Chaos,Attack,0,0,0,0
Bell,Tyson,PLL,Chaos,Defense,0,0,0,0
Rowlett,Jack,PLL,Chaos,Defense,0,0,3,0.0
Surdick,Johnny,PLL,Chaos,Defense,0,0,0,0
Torain,Greyson,PLL,Chaos,Midfield,0,0,2,0.0
Stover,Jake,PLL,Chaos,Goalie,0,0,0,0
Grill,BJ,PLL,Chrome,Defense,0,0,0,0
Mullins,Brandon,PLL,Chrome,Defense,0,0,0,0
Queener,Brett,PLL,Chrome,Goalie,0,0,0,0
Crawford,Callum,PLL,Chrome,Attack,0,0,0,0
Bocklet,Chris,PLL,Chrome,Attack,0,0,1,0.0
Galloway,John,PLL,Chrome,Goalie,0,0,0,0
Lade,John,PLL,Chrome,Defense,0,0,0,0
Miller,Jovan,PLL,Chrome,Midfield,0,0,0,0
Turri,Justin,PLL,Chrome,Midfield,0,0,0,0
Duprey,Luke,PLL,Chrome,Defense,0,0,1,0.0
Flanagan,Ryan,PLL,Chrome,Defense,0,0,1,0.0
Sabia,Chris,PLL,Chrome,Defense,0,0,1,0.0
Prendergast,John,PLL,Chrome,Midfield,0,0,2,0.0
Fletcher,Joe,PLL,Chrome,Defense,0,0,0,0
Tulett,Alec,PLL,Chrome,Defense,0,0,1,0.0
Ready,Alex,PLL,Chrome,Goalie,0,0,0,0
Coholan,Greg,PLL,Chrome,Midfield,0,0,0,0
Hiken,Brent,PLL,Redwoods,Faceoff,0,0,0,0
Woodson,Chazz,PLL,Redwoods,Attack,0,0,0,0
Waldt,Gunnar,PLL,Redwoods,Goalie,0,0,0,0
Kelly,Jack,PLL,Redwoods,Goalie,0,0,0,0
Near,Jack,PLL,Redwoods,Midfield,0,0,10,0.0
Bellistri,Kylor,PLL,Redwoods,Midfield,0,0,4,0.0
Landis,Matt,PLL,Redwoods,Defense,0,0,0,0
Ossello,Nick,PLL,Redwoods,Midfield,0,0,3,0.0
Baum,Peter,PLL,Redwoods,Attack,0,0,0,0
Troutner,Tim,PLL,Redwoods,Goalie,0,0,0,0
Dunn,Tyler,PLL,Redwoods,Midfield,0,0,2,0.0
Ragonese,Jerry,PLL,Redwoods,Faceoff,0,0,0,0
